FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,FFT_W,MIN_FREQ,MAX_FREQ,J,LEFT_CHANNEL,RIGHT_CHANNEL
0.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1850.14046406335,NA
1.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1863.84310450877,NA
10.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1856.37001383296,NA
11.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1865.18316560727,NA
12.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1865.29263228736,NA
13.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1861.03615392215,NA
14.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1851.71021563937,NA
15.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1855.56742013923,NA
16.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1864.49126084433,NA
17.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1863.65796328098,NA
18.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1850.34849282814,NA
19.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1861.30327361396,NA
2.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1859.25934881533,NA
20.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1859.3449597787,NA
21.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1857.47214432241,NA
22.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1851.26735547855,NA
23.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1857.44193602654,NA
3.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1871.34386261229,NA
4.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1862.92351934044,NA
5.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1873.43301501434,NA
6.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1859.06448994409,NA
7.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1872.64966838597,NA
8.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1872.35550015727,NA
9.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1854.91789709049,NA
